ID,MP Name,Nature of membership,Start of Term,End of Term,Number of terms,Constituency,State,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills average,State Questions,State's Attendance average,,House
841864,Brijendra Singh,Elected,"Thursday, May 23, 2019",In office,First Term,Hisar,Haryana,Bharatiya Janata Party,Male,Information not available,Information Not Available,47,7,0,4,100%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,6.4,0,21,94%,,Lok Sabha
841865,C. Lalrosanga,Elected,"Thursday, May 23, 2019",In office,First Term,Mizoram,,Mizo National Front,Male,Information not available,Information Not Available,62,1,0,4,86%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,1,0,4,86%,,Lok Sabha
841745,C. R. Patil,Elected,"Thursday, May 23, 2019",In office,Third Term,Navsari,Gujarat,Bharatiya Janata Party,Male,Certificate Course,"I.T.I; Educated at Industrial Training Institute, Surat",64,1,0,0,93%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,10.5,0.4,37,92%,,Lok Sabha
841866,C.N. Annadurai,Elected,"Thursday, May 23, 2019",In office,First Term,Tiruvannamalai,Tamil Nadu,Dravida Munnetra Kazhagam,Male,Information not available,Information Not Available,46,5,0,16,72%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,13,0.2,34,84%,,Lok Sabha
841867,Chandan Singh,Elected,"Thursday, May 23, 2019",In office,First Term,Nawada,Bihar,Lok Jan Shakti Party,Male,Information not available,Information Not Available,34,1,0,12,81%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,11.7,0.5,28,86%,,Lok Sabha
841868,Chandeshwar Prasad,Elected,"Thursday, May 23, 2019",In office,First Term,Jahanabad,Bihar,Janata Dal (United),Male,Information not available,Information Not Available,68,5,0,35,75%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,11.7,0.5,28,86%,,Lok Sabha
841869,Chandra Prakash Choudhary,Elected,"Thursday, May 23, 2019",In office,First Term,Giridih,Jharkhand,AJSU Party,Male,Graduate,"B.Com, Educated at Ramgarh Mahavidyalaya, Ramgarh, Jharkhand",52,5,0,13,65%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,11.8,0.8,39,71%,,Lok Sabha
841587,Chandra Prakash Joshi,Elected,"Thursday, May 23, 2019",In office,Second Term,Chittorgarh,Rajasthan,Bharatiya Janata Party,Male,Graduate,B.Com.,44,36,2,85,98%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,19.8,0.8,45,93%,,Lok Sabha
841870,Chandra Sekhar Sahu,Elected,"Thursday, May 23, 2019",In office,Second Term,Berhampur,Odisha,Biju Janata Dal,Male,Professional Graduate,"B. Sc. (Hons.) LL B., Educated at Khalikot College, Berhampur University, (Orissa)",69,7,0,55,63%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,12.1,0.2,23,87%,,Lok Sabha
841871,Chandra Sen Jadon,Elected,"Thursday, May 23, 2019",In office,First Term,Firozabad,Uttar Pradesh,Bharatiya Janata Party,Male,Graduate,"B.Sc., Ayurvedacharya",69,5,0,0,93%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,13.9,0.3,22,90%,,Lok Sabha
841872,Chandrani Murmu,Elected,"Thursday, May 23, 2019",In office,First Term,Keonjhar,Odisha,Biju Janata Dal,Female,Information not available,Information Not Available,,5,0,0,79%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,12.1,0.2,23,87%,,Lok Sabha
841660,Chauhan Devusinh Jesingbhai,Elected,"Thursday, May 23, 2019",In office,Second Term,Kheda,Gujarat,Bharatiya Janata Party,Male,Inter/ Higher Secondary,Information not available,55,9,0,37,88%,(Data corresponds to the period from 1 Jun 2019 to 13 Dec 2019.),12.3,0.3,33,86,10.5,0.4,37,92%,,Lok Sabha
