Title,Date,Participants,Ref.Keywords
"Introduction and passing of the Appropriation (No. 4) Bill, 2018. ",7/8/2018,GOYAL SHRI PIYUSH,
"Introduction and passing of the Appropriation (No. 5) Bill, 2018. ",7/8/2018,GOYAL SHRI PIYUSH,
"Motion to consider Amendments made by Rajya Sabha to the Requisitioning and Acquisition of Immovable Property (Amendment) Bill, 2017 (Motion Adopted). ",7/8/2018,0,
"Introduction of the Juvenile Justice (Care and Protection of Children) Amendment Bill, 2018. ",6/8/2018,Gandhi Smt. Maneka Sanjay,"Child Adoption,Child Care,Magistrates,Child Protection"
"Discussion on the motion for consideration of the Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2018 (Discussion Concluded and Bill Passed). ",6/8/2018,"Prasad Dr. Bhagirath,Chautala Shri Dushyant,Sonkar Shri Vinod Kumar,Gaikwad Dr. Sunil Baliram,Khalsa Shri Harinder Singh,Naik Prof. Seetaram Ajmeera,Kodikunnil Shri Suresh,Sanghamita Dr.(Smt.) Mamtaz,Kushwaha Shri Upendra,Yadav Shri Dharmendra,Chandumajra Shri Prem Singh,Paswan Shri Chirag,Mohammed Shri Faizal P.P.,Premachandran Shri N.K.,Suman Shri Balka,Solanki Dr. Kirit Premjibhai,Kumar Shri Kaushalendra,Verma Shri Bhanu Pratap Singh,Kharge Shri Mallikarjun ,Hansdah Shri Rama Chandra,Chaudhury Shri Jitendra,Owaisi Shri Asaduddin,Basheer Shri E. T. Mohammed,Tarai Smt. Rita,Gopal Dr. K.,Mandal Dr. Tapas,Ali Shri Idris,Pandula Dr. Ravindra Babu ,Patel Smt. Anupriya Singh,Kothapalli Smt. Geetha,Sawant Shri Arvind Ganpat,Anwar Shri Tariq,Kataria Shri Rattan Lal,Kashyap Shri Virender,Patle Smt. Kamla Devi,Yadav Shri Jay Prakash Narayan,GEHLOT SHRI THAAWAR CHAND,GEHLOT SHRI THAAWAR CHAND,","Atrocities,Human Rights,Indian Judicial Service,National Crime Record Bureau,Private Sector,Punishment,Reservation Policy,Sikhs,Special Courts,University Grants Commission,Dalits,Ninth Schedule,Disparity,Tribals,First Information Report (FIR),Backlog Vacancies,Scheduled Castes (SCs),Scheduled Tribes (STs),Relief Measures,Other Backward Classes (OBCs),Equality,Tribal Welfare,Bail,Caste System,Centrally Sponsored Schemes,Forest Land,Crime,Denotified Tribes,Scheme Implementation,Skill Development,Promotion Policy,Right to Property,Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Act,Liberty"
"Introduction of the Scheduled Castes and Scheduled Tribes (Prevention of Atrocities) Amendment Bill, 2018. ",3/8/2018,GEHLOT SHRI THAAWAR CHAND,"Offenders,Special Courts"
"Further discussion on consideration of further amendment to Constitution (One Hundred and Twenty-Third) Amendment Bill, 2017 as returned by Rajya Sabha. ",2/8/2018,"Chautala Shri Dushyant,Rai Shri Nityanand,Sahu Shri Tamradhwaj,Patel Shri Prahlad Singh,Verma Shri Rajesh,Chowdhary Shri Pankaj,Arunmozhithevan Shri A.,Yadav Shri Dharmendra,Ram Mohan Naidu Shri Kinjarapu,Chandumajra Shri Prem Singh,Kumar Shri Santosh,Premachandran Shri N.K.,Goud Dr. Boora Narsaiah,Rai Shri Prem Das,Devegowda Shri H.D.,Mahtab Shri Bhartruhari,Mahtab Shri Bhartruhari,Karunakaran Shri P.,Paswan Shri Ram Vilas,Owaisi Shri Asaduddin,Banerjee Shri Kalyan,Basheer Shri E. T. Mohammed,Bidhuri Shri Ramesh,Mondal Shri Sunil Kumar,Patel Smt. Anupriya Singh,Kothapalli Smt. Geetha,Ranjan (Pappu Yadav) Shri Rajesh,Sahu Shri Lakhan Lal,Sawant Shri Arvind Ganpat,Nagar Shri Rodmal,Kushwaha Shri Ram Kumar Sharma,Choudhary Shri Birendra Kumar,Choudhary Shri Ram Tahal,Yadav Shri Jay Prakash Narayan,GEHLOT SHRI THAAWAR CHAND,GEHLOT SHRI THAAWAR CHAND,GEHLOT SHRI THAAWAR CHAND,","Economic and Social Development,Economically Backward,Education,Educational Development,Employment,Mandal Commission,Muslims,Private Sector,Reservation Policy,Scholarships,Social Reform,Supreme Court,Educationally Backward,Other Backward Classes (OBCs),Punishments,Scheduled Castes and Scheduled Tribes,Justice,Nomadic Tribes,Health Sector,National Commission for the Scheduled Castes,National Commission for Backward Classes"
"Discussion on Statutory Resolution regarding Disapproval of Insolvency and Bankruptcy Code (Amendment) Ordinance, 2018 (No. 6 of 2018) and Insolvency and Bankruptcy Code (Second Amendment) Bill, 2018 (Statutory Resolution-Negatived and Government Bill - Passed). ",31-07-2018,"Chautala Shri Dushyant,Dubey Shri Nishikant ,Moily Dr. M. Veerappa,Somaiya Dr. Kirit,Galla Shri Jayadev,Raut Shri Vinayak Bhaurao,Chandumajra Shri Prem Singh,Premachandran Shri N.K.,Premachandran Shri N.K.,Premachandran Shri N.K.,Reddy Shri Konda Vishweshwar,Roy Prof. Saugata,Kumar Shri Kaushalendra,Kharge Shri Mallikarjun ,Mahtab Shri Bhartruhari,Karunakaran Shri P.,Baheria Shri Subhash Chandra,Venugopal Dr. Ponnusamy,Butta Smt. Renuka,Ranjan (Pappu Yadav) Shri Rajesh,Tripathi Shri Sharad,Pal Shri Jagdambika,Yadav Shri Jay Prakash Narayan,Chowdhury Shri Adhir Ranjan,GOYAL SHRI PIYUSH,GOYAL SHRI PIYUSH,GOYAL SHRI PIYUSH,GOYAL SHRI PIYUSH","Assets,Banking Systems,Bankruptcy,Capitalism,Economic Growth,Economic Policy,Financial Institutions,Foreign Investments,Insolvency,Transparency,Reserve Bank of India (RBI),Non-Performing Assets,Investors,Securities and Exchange Board of India (SEBI),Employment Generation,Loan Waiving,Loan Recovery,Real Estate,Banking Industry,Housing Loans,Liquidation,Fraudulent Practice,Banking Institutions,Public Sector Banks,Real Estate Regulatory Authority (RERA)"
"The Amendments made by Rajya Sabha to the State Banks (Repeal and Amendment) Bill, 2017 (amendments agreed to)",30-07-2018,0,
"The motion for the consideration of the Trafficking of Persons (Prevention, Protection And Rehabilitation) Bill, 2018- Bill passed. ",26-07-2018,"Chautala Shri Dushyant,Gandhi Smt. Maneka Sanjay,Gandhi Smt. Maneka Sanjay,Gandhi Smt. Maneka Sanjay,Gandhi Smt. Maneka Sanjay,Bhaleram Shri Dharambir,Mondal Smt. Pratima,Mondal Smt. Pratima,Sathyabama Smt. V.,Teacher Smt. P.K.Sreemathi,Raut Shri Vinayak Bhaurao,Gavit Dr. Heena Vijaykumar,Premachandran Shri N.K.,Kalvakuntla Smt. Kavitha,Kalvakuntla Smt. Kavitha,Roy Prof. Saugata,Kumar Shri Kaushalendra,Satpathy Shri Tathagata,Roy (Banerjee) Smt. Satabdi,Mahtab Shri Bhartruhari,Khan Shri Md. Badariddoza,Thambi durai, Dr. M.,Basheer Shri E. T. Mohammed,Sule Smt. Supriya Sadanand,Patasani Shri Prasanna Kumar,Bose Prof. (Dr.) Sugata,Patel Smt. Jayshreeben ,Kothapalli Smt. Geetha,Butta Smt. Renuka,Ranjan (Pappu Yadav) Shri Rajesh,Pala Shri Vincent H,Birla Shri Om,Lekhi Smt. Meenakashi,Lekhi Smt. Meenakashi,Pandey Shri Ravindra Kumar,Rao (Avnthi) Shri Muthamsetti Srinivasa,Tharoor Dr. Shashi,Yadav Shri Jay Prakash Narayan,Chowdhury Shri Adhir Ranjan","Bonded Labour,Child Adoption,Fund Allocation,Human Rights,Juvenile Justice,Kidnapping,Law and Order,Offenders,Poverty,Rehabilitation,Short Stay Homes,Smuggling,Unlawful Activities,Sexual Harassment,Investigation,Rescue Operation,Anti Social Elements,Prostitutes,Victims,Justice,Crime,Self Employment,Human Trafficking,Preventive Measures,Transgender,Child Trafficking,Toilet Facilities,National Anti-Trafficking Bureau"
